Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"GameAchievement.java",1,1,1,1,12,0,5,6,,,,,1,1,0,11,,11,10,8,11,,0,0,0,11,,190,29,75,35,31,86,,,,45,60,35,31,,,,,,3,3,3,1,,,2,,,,"1.15",14,14,15,11
File,"GameStats.java",2,2,2,1,15,0,8,6,,,,,1,2,0,13,,13,11,8,13,,0,0,3,10,,265,35,129,37,66,104,,,,59,95,36,61,,,,,,8,8,8,8,,,3,,,,"0.81",34,34,34,20
File,"L4D2StatsTest.java",1,1,1,1,7,0,7,0,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,65,12,42,14,22,12,,,,18,24,10,14,,,,,,1,1,1,1,,,0,,,,"0.29",5,5,5,5
File,"Portal2Stats.java",2,2,2,1,14,1,6,7,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,55,9,19,8,6,27,,,,9,14,8,6,,,,,,3,3,3,1,,,1,,,,"1.42",4,4,4,2
File,"Portal2StatsTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,41,9,21,10,7,11,,,,11,15,8,7,,,,,,1,1,1,1,,,0,,,,"0.52",3,3,3,3
File,"SteamId.java",1,1,1,1,14,0,6,7,,,,,1,10,1,50,,50,40,27,50,,0,5,0,45,,837,82,370,126,180,387,,,,176,265,116,166,,,,,,10,10,10,4,,,3,,,,"1.05",84,84,90,53
File,"SteamIdTest.java",1,1,1,1,12,2,9,2,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,101,27,63,33,33,22,,,,46,52,28,33,,,,,,1,1,1,1,,,0,,,,"0.35",5,5,5,5
File,"TF2Stats.java",2,2,2,1,14,0,6,7,,,,,1,0,0,6,,6,6,4,6,,0,0,0,6,,127,19,53,17,22,55,,,,24,39,18,21,,,,,,4,4,4,1,,,2,,,,"1.04",14,14,14,6
File,"TF2StatsTest.java",1,1,1,1,37,2,35,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,179,19,148,23,130,14,,,,135,140,20,130,,,,,,1,1,1,1,,,0,,,,"0.09",4,4,4,4
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.koraktor",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.koraktor.steamcondenser",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.koraktor.steamcondenser.steam",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.koraktor.steamcondenser.steam.community",1,1,1,1,14,0,6,6,,,,,4,13,1,,4,,66,44,79,,0,5,3,71,,1393,173,637,231,310,599,,,,326,472,215,291,,,,,,10,10,10,8,,,3,,,,"0.94",137,137,144,89
Public Class,"com.github.koraktor.steamcondenser.steam.community.GameAchievement",1,1,1,1,12,0,5,6,1,10,10,0,,1,0,,,,10,8,11,11,0,0,0,11,,177,24,67,27,31,86,,,,37,52,27,31,,,,,,3,3,3,1,,1,2,,80,80,"1.28",14,14,15,11
Public Constructor,"com.github.koraktor.steamcondenser.steam.community.GameAchievement.GameAchievement",,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,1,13,2,10,12,16,2,0,9,11,2,10,2,2,3,1,0,,,,,0,,1,0,,,"0.92",2,2,3,1
Public Method,"com.github.koraktor.steamcondenser.steam.community.GameAchievement.getApiName",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"com.github.koraktor.steamcondenser.steam.community.GameAchievement.getAppId",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Public Method,"com.github.koraktor.steamcondenser.steam.community.GameAchievement.getDescription",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Static Method,"com.github.koraktor.steamcondenser.steam.community.GameAchievement.getGlobalPercentages",,,,,,,,,,,,,,,,,,,,,,,,,,,3,32,3,17,7,12,12,8,3,0,11,14,7,12,3,3,3,1,1,,,,,0,,2,0,,,"0.71",3,3,3,1
