Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractPDFExtractor.java",2,2,2,1,11,1,10,1,,,,,1,0,1,15,,15,14,6,14,,4,2,5,3,,227,36,189,58,81,18,,,,81,117,59,71,,,,,,7,7,7,3,,,3,,,,"0.10",33,33,33,17
File,"BaseCSVExtractor.java",1,1,2,1,11,1,9,0,,,,,1,0,0,11,,12,11,4,11,,2,1,3,5,,151,25,124,52,51,6,,,,63,81,46,45,,,,,,4,4,5,1,,,2,,,,"0.05",20,20,23,11
File,"CSVExtractor.java",2,2,2,1,9,0,8,0,,,,,1,0,0,8,,10,10,0,10,,0,0,6,4,,106,19,87,44,38,1,,,,46,63,39,36,,,,,,4,4,6,3,,,1,,,,"0.01",17,17,20,12
File,"SecurityCache.java",1,1,2,1,6,0,5,0,,,,,1,0,0,14,,14,4,4,4,,0,1,0,3,,110,20,85,27,47,5,,,,47,65,28,39,,,,,,10,10,10,4,,,2,,,,"0.06",26,26,30,19
Package,"name",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"name.abuchen",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"name.abuchen.portfolio",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"name.abuchen.portfolio.datatransfer",1,1,2,1,6,0,5,0,,,,,1,0,0,,1,,4,4,4,,0,1,0,3,,110,20,85,27,47,5,,,,47,65,28,39,,,,,,10,10,10,4,,,2,,,,"0.06",26,26,30,19
Public Class,"name.abuchen.portfolio.datatransfer.SecurityCache",4,4,4,2,20,3,15,1,1,16,16,0,,0,0,,,,4,4,4,4,0,1,0,3,,92,17,70,12,47,5,,,,32,50,13,39,,,,,,10,10,10,4,,1,2,,50,50,"0.07",26,26,30,19
Public Constructor,"name.abuchen.portfolio.datatransfer.SecurityCache.SecurityCache",,,,,,,,,,,,,,,,,,,,,,,,,,,15,17,3,14,1,11,0,10,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",10,10,13,10
Lambda Method,"name.abuchen.portfolio.datatransfer.SecurityCache.SecurityCache.(lambda_expr_1)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,3,1,0,0,0,0,0,1,1,2,1,0,,,,,0,,0,0,,,"0.00",1,1,2,1
Lambda Method,"name.abuchen.portfolio.datatransfer.SecurityCache.SecurityCache.(lambda_expr_2)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Lambda Method,"name.abuchen.portfolio.datatransfer.SecurityCache.SecurityCache.(lambda_expr_3)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0,1,0,3,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Lambda Method,"name.abuchen.portfolio.datatransfer.SecurityCache.SecurityCache.(lambda_expr_4)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,3,1,0,0,0,0,0,1,1,2,1,0,,,,,0,,0,0,,,"0.00",1,1,2,1
Lambda Method,"name.abuchen.portfolio.datatransfer.SecurityCache.SecurityCache.(lambda_expr_5)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Lambda Method,"name.abuchen.portfolio.datatransfer.SecurityCache.SecurityCache.(lambda_expr_6)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0,1,0,3,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Lambda Method,"name.abuchen.portfolio.datatransfer.SecurityCache.SecurityCache.(lambda_expr_7)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,3,1,0,0,0,0,0,1,1,2,1,0,,,,,0,,0,0,,,"0.00",1,1,2,1
Lambda Method,"name.abuchen.portfolio.datatransfer.SecurityCache.SecurityCache.(lambda_expr_8)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Lambda Method,"name.abuchen.portfolio.datatransfer.SecurityCache.SecurityCache.(lambda_expr_9)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0,1,0,3,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
