Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BridgeConstants.java",0,0,0,0,0,0,0,0,,,,,1,0,11,0,,0,0,0,0,,0,0,0,0,,39,5,14,13,11,20,,,,12,13,13,0,,,,,,0,0,0,0,,,0,,,,"1.43",0,0,0,0
File,"HeadRendererBridgeImpl.java",6,6,7,1,61,14,36,10,,,,,1,0,6,4,,4,4,0,4,,0,0,3,1,,305,68,175,66,117,62,,,,94,126,68,87,,,,,,21,21,24,1,,,4,,,,"0.35",27,27,30,4
File,"PortletContainerLiferayImpl.java",2,2,2,1,14,2,9,2,,,,,1,0,3,24,,24,24,17,24,,0,0,9,15,,465,96,288,130,138,81,,,,152,206,112,128,,,,,,7,7,10,1,,,3,,,,"0.28",50,50,53,24
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.liferay",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.liferay.faces",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.liferay.faces.bridge",0,0,0,0,0,0,0,0,,,,,1,0,11,,1,,0,0,0,,0,0,0,0,,39,5,14,13,11,20,,,,12,13,13,0,,,,,,0,0,0,0,,,0,,,,"1.43",0,0,0,0
Public Class,"com.liferay.faces.bridge.BridgeConstants",0,0,0,0,0,0,0,0,1,1,1,0,,0,11,,,,0,0,0,0,0,0,0,0,,37,4,13,12,11,20,,,,11,12,12,0,,,,,,0,0,0,0,,1,0,,0,0,"1.54",0,0,0,0
Package,"com.liferay.faces.bridge.container",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.liferay.faces.bridge.container.liferay",2,2,2,1,14,2,9,2,,,,,1,0,3,,1,,24,17,24,,0,0,9,15,,465,96,288,130,138,81,,,,152,206,112,128,,,,,,7,7,10,1,,,3,,,,"0.28",50,50,53,24
Public Class,"com.liferay.faces.bridge.container.liferay.PortletContainerLiferayImpl",2,2,2,1,14,2,9,2,1,43,43,0,,0,3,,,,24,17,24,24,0,0,9,15,,430,91,258,100,138,81,,,,122,176,82,128,,,,,,7,7,10,1,,2,3,,91,90,"0.31",50,50,53,24
Public Constructor,"com.liferay.faces.bridge.container.liferay.PortletContainerLiferayImpl.PortletContainerLiferayImpl",,,,,,,,,,,,,,,,,,,,,,,,,,,19,87,18,53,10,41,16,32,25,1,32,39,9,37,7,7,10,1,3,,,,,0,,3,0,,,"0.30",7,7,10,1
Protected Method,"com.liferay.faces.bridge.container.liferay.PortletContainerLiferayImpl.createActionURL",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.liferay.faces.bridge.container.liferay.PortletContainerLiferayImpl.createRedirectURL",,,,,,,,,,,,,,,,,,,,,,,,,,,2,23,6,17,9,11,0,10,3,0,9,13,8,11,3,3,3,1,0,,,,,0,,2,0,,,"0.00",3,3,3,1
Protected Method,"com.liferay.faces.bridge.container.liferay.PortletContainerLiferayImpl.createRenderURL",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"com.liferay.faces.bridge.container.liferay.PortletContainerLiferayImpl.createResourceURL",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,2,2,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.liferay.faces.bridge.container.liferay.PortletContainerLiferayImpl.fixRequestParameterValue",,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,3,10,3,5,8,3,3,0,3,6,2,5,3,3,3,1,0,,,,,0,,2,0,,,"0.80",3,3,3,1
Protected Method,"com.liferay.faces.bridge.container.liferay.PortletContainerLiferayImpl.getEncodedRequestParameterValue",,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,4,11,2,6,1,3,3,0,3,6,2,5,3,3,3,1,1,,,,,0,,2,0,,,"0.09",3,3,3,1
Public Method,"com.liferay.faces.bridge.container.liferay.PortletContainerLiferayImpl.getHeader",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.liferay.faces.bridge.container.liferay.PortletContainerLiferayImpl.getHttpServletRequestDateHeader",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"com.liferay.faces.bridge.container.liferay.PortletContainerLiferayImpl.getParsedLiferayActionURL",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,2,7,2,4,0,3,2,0,3,5,2,4,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Protected Method,"com.liferay.faces.bridge.container.liferay.PortletContainerLiferayImpl.getParsedLiferayRenderURL",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,2,7,2,4,0,3,2,0,3,5,2,4,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Protected Method,"com.liferay.faces.bridge.container.liferay.PortletContainerLiferayImpl.getParsedLiferayResourceURL",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,2,7,2,4,0,3,2,0,3,5,2,4,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"com.liferay.faces.bridge.container.liferay.PortletContainerLiferayImpl.getRequestURL",,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,2,11,4,7,0,7,2,0,6,8,3,7,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"com.liferay.faces.bridge.container.liferay.PortletContainerLiferayImpl.getResponseNamespace",,,,,,,,,,,,,,,,,,,,,,,,,,,3,15,4,11,3,6,0,8,3,0,4,7,2,6,3,3,3,1,0,,,,,0,,2,0,,,"0.00",3,3,3,1
Public Method,"com.liferay.faces.bridge.container.liferay.PortletContainerLiferayImpl.isAbleToAddScriptResourceToHead",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.liferay.faces.bridge.container.liferay.PortletContainerLiferayImpl.isAbleToAddScriptTextToHead",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.liferay.faces.bridge.container.liferay.PortletContainerLiferayImpl.isAbleToAddStyleSheetResourceToHead",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
