Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ImportedInterface.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,31,2,3,2,0,26,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,"8.67",0,0,0,0
File,"Module.java",1,1,1,1,12,0,8,3,,,,,10,20,7,72,,68,52,20,72,,21,10,0,41,,1009,99,585,185,323,325,,,,270,433,200,293,,,,,,9,9,9,7,,,4,,,,"0.56",139,139,143,95
File,"ModuleClassLoaderTest.java",1,1,1,1,15,1,14,0,,,,,1,0,12,24,,24,24,1,24,,0,0,0,24,,473,73,373,175,272,29,,,,222,258,152,211,,,,,,4,4,4,1,,,2,,,,"0.08",34,34,34,24
Public Implicit Method,"clone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",0,0,0,0
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jboss",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jboss.modules",1,1,1,1,13,0,9,2,,,,,11,20,19,,2,,76,21,96,,21,10,0,65,,1482,172,958,360,595,354,,,,492,691,352,504,,,,,,9,9,9,7,,,4,,,,"0.37",173,173,177,119
Public Final Class,"org.jboss.modules.Module",1,1,2,1,14,0,9,5,1,53,53,0,,20,6,,,,29,8,49,49,17,9,0,23,,961,96,561,161,323,304,,,,246,409,176,293,,,,,,9,9,9,7,,1,3,,90,86,"0.54",97,97,99,68
Anonymous Class,"org.jboss.modules.Module.(Anon_1)",2,2,2,1,8,0,7,1,1,4,4,0,,0,0,,,,1,0,1,1,0,0,0,1,,9,0,8,0,6,1,,,,2,4,1,3,,,,,,2,2,2,1,,2,1,,0,0,"0.12",2,2,2,1
Public Method,"org.jboss.modules.Module.(Anon_1).run",,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,0,7,0,5,1,2,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"0.14",2,2,2,1
Static Final Class,"org.jboss.modules.Module.DependencyImport",1,1,1,1,3,0,3,0,1,2,2,0,,0,0,,,,4,2,4,4,4,0,0,0,,21,4,17,7,5,0,,,,7,12,7,5,,,,,,1,1,1,1,,1,0,,37,37,"0.00",4,4,4,4
Constructor,"org.jboss.modules.Module.DependencyImport.DependencyImport",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Method,"org.jboss.modules.Module.DependencyImport.getClassLoader",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Method,"org.jboss.modules.Module.DependencyImport.getModule",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Method,"org.jboss.modules.Module.DependencyImport.isExport",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Final Class,"org.jboss.modules.Module.DependencyVisitTracker",1,1,1,1,8,0,5,3,1,10,10,0,,0,0,,,,7,4,7,7,0,0,0,7,,74,7,44,14,19,23,,,,19,30,13,18,,,,,,3,3,3,1,,1,1,,50,50,"0.52",11,11,11,7
Public Constructor,"org.jboss.modules.Module.DependencyVisitTracker.DependencyVisitTracker",,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,1,4,0,5,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.jboss.modules.Module.DependencyVisitTracker.finishPathVisit",,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,3,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"org.jboss.modules.Module.DependencyVisitTracker.finishVisit",,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0,3,1,1,3,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"org.jboss.modules.Module.DependencyVisitTracker.notifyPathNotExported",,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,0,5,1,2,5,1,2,0,1,3,1,2,2,2,2,1,0,,,,,0,,1,0,,,"1.00",2,2,2,1
Public Method,"org.jboss.modules.Module.DependencyVisitTracker.notifyPathNotIncluded",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"org.jboss.modules.Module.DependencyVisitTracker.startPathVisit",,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,0,7,1,4,4,4,2,0,3,5,1,4,2,2,2,1,1,,,,,0,,1,0,,,"0.57",2,2,2,1
Public Method,"org.jboss.modules.Module.DependencyVisitTracker.startVisit",,,,,,,,,,,,,,,,,,,,,,,,,,,8,13,0,10,3,6,3,5,2,0,4,6,2,5,3,3,3,1,1,,,,,0,,1,0,,,"0.30",3,3,3,1
Enum Type,"org.jboss.modules.Module.LoadState",0,0,0,0,0,0,0,0,1,1,1,0,,0,0,,,,2,3,2,2,0,0,0,2,,15,1,5,4,0,9,,,,0,1,1,0,,,,,,0,0,0,0,,1,0,,,,"1.80",0,0,0,0
Public Implicit Method,"org.jboss.modules.Module.LoadState.valueOf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",0,0,0,0
Public Implicit Method,"org.jboss.modules.Module.LoadState.values",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",0,0,0,0
Private Constructor,"org.jboss.modules.Module.Module",,,,,,,,,,,,,,,,,,,,,,,,,,,6,13,0,8,1,6,5,7,1,0,6,7,1,6,1,1,1,1,0,,,,,0,,0,0,,,"0.62",1,1,1,1
Constructor,"org.jboss.modules.Module.Module",,,,,,,,,,,,,,,,,,,,,,,,,,,3,23,1,13,4,11,9,14,4,1,11,14,4,12,3,3,3,1,0,,,,,0,,1,0,,,"0.69",3,3,3,1
Enum Type,"org.jboss.modules.Module.PathVisitAction",0,0,0,0,0,0,0,0,1,1,1,0,,0,0,,,,2,3,2,2,0,0,0,2,,1,0,1,1,0,0,,,,0,1,1,0,,,,,,0,0,0,0,,1,0,,,,"0.00",0,0,0,0
Public Implicit Method,"org.jboss.modules.Module.PathVisitAction.valueOf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",0,0,0,0
Public Implicit Method,"org.jboss.modules.Module.PathVisitAction.values",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",0,0,0,0
