Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractIvoryAspect.java",2,2,2,1,23,2,21,0,,,,,1,0,1,2,,3,3,0,3,,0,1,0,2,,91,12,56,26,34,23,,,,34,40,22,24,,,,,,2,2,2,1,,,1,,,,"0.41",4,4,4,2
File,"ImonAspect.java",1,1,1,1,9,0,8,0,,,,,2,0,2,4,,4,4,0,4,,0,1,0,3,,85,11,52,24,25,22,,,,28,38,21,20,,,,,,3,3,3,3,,,2,,,,"0.42",7,7,7,6
File,"IvoryTopicSubscriber.java",1,1,1,1,10,0,10,0,,,,,1,1,3,9,,9,8,7,9,,0,1,0,8,,165,23,122,67,66,20,,,,70,84,55,38,,,,,,3,3,3,1,,,2,,,,"0.16",13,13,13,9
File,"MonDemandClient.java",1,1,1,1,6,0,6,0,,,,,1,2,3,4,,4,2,2,4,,0,2,0,2,,65,11,36,16,19,18,,,,21,27,15,14,,,,,,2,2,2,1,,,1,,,,"0.50",5,5,5,4
File,"ProcessInstanceManager.java",2,2,2,1,16,1,15,0,,,,,1,0,1,12,,12,12,0,12,,0,4,1,7,,270,34,215,121,109,23,,,,115,144,81,100,,,,,,6,6,6,1,,,3,,,,"0.11",28,28,28,12
File,"ResourcesReflectionUtilTest.java",1,1,1,1,15,4,11,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,43,10,16,6,8,17,,,,11,13,5,8,,,,,,1,1,1,1,,,0,,,,"1.06",1,1,1,1
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.ivory",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.ivory.aspect",2,2,2,1,23,2,21,0,,,,,1,0,1,,1,,3,0,3,,0,1,0,2,,91,12,56,26,34,23,,,,34,40,22,24,,,,,,2,2,2,1,,,1,,,,"0.41",4,4,4,2
Public Abstract Class,"org.apache.ivory.aspect.AbstractIvoryAspect",2,2,2,1,23,2,21,0,1,13,13,1,,0,1,,,,3,0,3,3,0,1,0,2,,62,8,48,18,34,6,,,,26,32,14,24,,,,,,2,2,2,1,,1,1,,0,0,"0.12",4,4,4,2
Public Method,"org.apache.ivory.aspect.AbstractIvoryAspect.LogAround",,,,,,,,,,,,,,,,,,,,,,,,,,,7,31,2,29,8,23,0,11,2,0,19,21,7,17,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"org.apache.ivory.aspect.AbstractIvoryAspect.getResourceMessage",,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,2,13,5,9,0,8,2,0,5,8,4,6,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Abstract Method,"org.apache.ivory.aspect.AbstractIvoryAspect.publishMessage",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Package,"org.apache.ivory.aspect.instances",1,1,1,1,10,0,10,0,,,,,1,1,3,,1,,8,7,9,,0,1,0,8,,165,23,122,67,66,20,,,,70,84,55,38,,,,,,3,3,3,1,,,2,,,,"0.16",13,13,13,9
Public Class,"org.apache.ivory.aspect.instances.IvoryTopicSubscriber",1,1,1,1,10,0,10,0,3,25,25,0,,1,3,,,,8,7,9,9,0,1,0,8,,125,19,103,48,66,3,,,,51,65,36,38,,,,,,3,3,3,1,,1,2,,75,72,"0.03",13,13,13,9
Public Constructor,"org.apache.ivory.aspect.instances.IvoryTopicSubscriber.IvoryTopicSubscriber",,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,0,8,2,5,0,6,1,0,5,6,1,5,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.apache.ivory.aspect.instances.IvoryTopicSubscriber.closeSubscriber",,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,4,2,0,4,6,1,5,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Static Method,"org.apache.ivory.aspect.instances.IvoryTopicSubscriber.createAndGetConnection",,,,,,,,,,,,,,,,,,,,,,,,,,,5,17,3,14,11,7,0,6,1,0,4,5,4,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.apache.ivory.aspect.instances.IvoryTopicSubscriber.onException",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,1,3,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.apache.ivory.aspect.instances.IvoryTopicSubscriber.onMessage",,,,,,,,,,,,,,,,,,,,,,,,,,,5,29,3,25,11,21,1,6,3,0,14,17,11,7,3,3,3,1,2,,,,,0,,2,0,,,"0.04",3,3,3,1
Public Method,"org.apache.ivory.aspect.instances.IvoryTopicSubscriber.startSubscriber",,,,,,,,,,,,,,,,,,,,,,,,,,,10,18,0,18,6,15,0,13,2,0,10,12,4,11,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.apache.ivory.aspect.instances.IvoryTopicSubscriber.test1",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.apache.ivory.aspect.instances.IvoryTopicSubscriber.test2",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.apache.ivory.aspect.instances.IvoryTopicSubscriber.toString",,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Package,"org.apache.ivory.monitoring",1,1,1,1,8,0,7,0,,,,,3,2,5,,2,,6,2,8,,0,3,0,5,,150,22,88,40,44,40,,,,49,65,36,34,,,,,,3,3,3,3,,,2,,,,"0.45",12,12,12,10
Public Class,"org.apache.ivory.monitoring.ImonAspect",1,1,1,1,5,0,5,0,1,7,7,0,,0,2,,,,2,0,2,5,0,0,0,2,,55,7,43,15,25,5,,,,19,29,12,20,,,,,,1,1,1,1,,2,0,,0,0,"0.12",2,2,2,2
Public Static Class,"org.apache.ivory.monitoring.ImonAspect.Consumer",2,2,2,2,13,1,12,0,1,7,7,0,,0,0,,,,2,0,2,2,0,1,0,1,,29,3,26,6,16,0,,,,11,18,6,13,,,,,,3,3,3,3,,2,2,,0,0,"0.00",5,5,5,4
Public Method,"org.apache.ivory.monitoring.ImonAspect.Consumer.run",,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,0,13,3,8,0,3,3,0,5,8,2,6,3,3,3,3,3,,,,,2,,2,1,,,"0.00",3,3,3,3
Private Method,"org.apache.ivory.monitoring.ImonAspect.Consumer.sendToImon",,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,2,11,2,8,0,12,2,0,6,9,3,7,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Constructor,"org.apache.ivory.monitoring.ImonAspect.ImonAspect",,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,0,7,2,5,0,4,1,0,5,6,2,5,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.apache.ivory.monitoring.ImonAspect.publishMessage",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Class,"org.apache.ivory.monitoring.MonDemandClient",1,1,1,1,6,0,6,0,1,6,6,0,,2,3,,,,2,2,4,4,0,2,0,2,,41,8,32,12,19,1,,,,17,23,11,14,,,,,,2,2,2,1,,1,1,,50,25,"0.03",5,5,5,4
Private Constructor,"org.apache.ivory.monitoring.MonDemandClient.MonDemandClient",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Static Method,"org.apache.ivory.monitoring.MonDemandClient.getClient",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Static Method,"org.apache.ivory.monitoring.MonDemandClient.getHostname",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
