Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Clazz.java",2,2,2,1,10,0,10,0,,,,,2,1,0,21,,21,20,6,21,,0,1,0,20,,300,24,275,130,137,6,,,,142,192,101,121,,,,,,15,15,15,6,,,5,,,,"0.02",48,48,50,26
File,"ClazzDaoHibernate.java",1,1,1,1,10,0,10,0,,,,,1,0,0,8,,8,8,0,8,,0,1,1,6,,109,9,95,39,53,5,,,,48,62,35,37,,,,,,3,3,3,1,,,1,,,,"0.05",13,13,13,8
File,"IrrelevantClassException.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,12,1,6,3,1,5,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,"0.83",1,1,1,1
File,"Javadoc.java",2,2,2,1,14,0,14,0,,,,,2,0,0,2,,2,2,1,2,,0,0,0,2,,49,4,40,21,18,5,,,,23,28,19,13,,,,,,3,3,3,1,,,0,,,,"0.12",4,4,4,2
File,"JavadocParser.java",5,5,5,1,20,0,20,1,,,,,1,0,1,1,,1,1,1,1,,0,0,0,1,,47,4,37,20,14,7,,,,20,27,19,11,,,,,,5,5,5,1,,,3,,,,"0.19",5,5,5,1
File,"JavadocParserTest.java",1,1,1,1,8,0,8,0,,,,,2,0,2,4,,4,4,3,4,,0,1,0,3,,75,7,62,38,26,8,,,,41,49,34,22,,,,,,2,2,2,1,,,1,,,,"0.13",6,6,6,4
Package,"javabot",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"javabot.commands",2,2,2,1,14,0,14,0,,,,,2,0,0,,1,,2,1,2,,0,0,0,2,,49,4,40,21,18,5,,,,23,28,19,13,,,,,,3,3,3,1,,,0,,,,"0.12",4,4,4,2
Public Class,"javabot.commands.Javadoc",3,3,3,1,25,0,25,0,2,11,11,0,,0,0,,,,1,1,1,1,0,0,0,1,,34,1,28,10,18,5,,,,12,17,8,13,,,,,,3,3,3,1,,1,0,,0,0,"0.18",3,3,3,1
Public Method,"javabot.commands.Javadoc.execute",,,,,,,,,,,,,,,,,,,,,,,,,,,4,25,0,25,7,18,0,9,3,0,11,15,6,13,3,3,3,1,1,,,,,0,,0,0,,,"0.00",3,3,3,1
Anonymous Class,"javabot.commands.Javadoc.execute.(Anon_1)",1,1,1,1,4,0,4,0,1,4,4,0,,0,0,,,,1,0,1,1,0,0,0,1,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Method,"javabot.commands.Javadoc.execute.(Anon_1).write",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,0,3,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Package,"javabot.dao",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"javabot.dao.impl",1,1,1,1,10,0,10,0,,,,,1,0,0,,1,,8,0,8,,0,1,1,6,,109,9,95,39,53,5,,,,48,62,35,37,,,,,,3,3,3,1,,,1,,,,"0.05",13,13,13,8
Public Class,"javabot.dao.impl.ClazzDaoHibernate",1,1,1,1,10,0,10,0,2,10,10,0,,0,0,,,,8,0,8,8,0,1,1,6,,94,6,83,27,53,5,,,,36,50,23,37,,,,,,3,3,3,1,,2,1,,0,0,"0.06",13,13,13,8
Protected Constructor,"javabot.dao.impl.ClazzDaoHibernate.ClazzDaoHibernate",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"javabot.dao.impl.ClazzDaoHibernate.deleteAll",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,8,3,5,0,5,1,0,3,4,2,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"javabot.dao.impl.ClazzDaoHibernate.findAll",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,7,3,4,0,5,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"javabot.dao.impl.ClazzDaoHibernate.getClass",,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,0,16,6,11,0,11,2,0,10,12,5,10,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"javabot.dao.impl.ClazzDaoHibernate.getClass",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,8,4,5,0,7,1,0,5,6,3,5,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"javabot.dao.impl.ClazzDaoHibernate.getMethods",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,9,4,5,0,4,2,0,4,7,4,5,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"javabot.dao.impl.ClazzDaoHibernate.getMethods",,,,,,,,,,,,,,,,,,,,,,,,,,,6,14,0,14,2,10,0,8,2,0,4,6,2,4,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
