Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"OPMAdapterFactory.java",1,1,1,1,9,0,3,5,,,,,2,0,1,25,,25,25,1,25,,0,0,0,25,,286,22,108,26,53,157,,,,35,64,34,31,,,,,,3,3,3,3,,,1,,,,"1.45",28,28,28,27
File,"OPMContainer.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,48,4,6,5,0,39,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,"6.50",0,0,0,0
File,"OPMContainerImpl.java",1,1,1,1,12,0,7,5,,,,,1,0,0,9,,9,9,1,9,,0,0,2,7,,171,18,81,32,32,73,,,,32,49,23,26,,,,,,2,2,3,1,,,1,,,,"0.90",16,16,17,9
File,"OPMContainerItemProvider.java",1,1,1,1,15,1,8,6,,,,,1,0,0,9,,9,9,0,9,,0,0,2,7,,196,26,99,43,43,71,,,,39,52,28,24,,,,,,2,2,2,1,,,1,,,,"0.72",12,12,12,9
File,"OPMContainerTest.java",1,1,1,1,9,0,3,5,,,,,1,1,0,6,,6,5,1,6,,0,0,4,2,,93,12,28,15,7,54,,,,12,19,13,6,,,,,,1,1,1,1,,,0,,,,"1.93",6,6,6,6
File,"OPMExample.java",5,5,5,1,43,2,24,17,,,,,1,2,0,2,,2,0,0,2,,0,0,1,1,,126,16,65,25,34,47,,,,37,49,28,28,,,,,,8,8,8,1,,,5,,,,"0.72",10,10,10,2
File,"OPMFactory.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,11,11,1,11,,11,0,0,0,,127,14,16,15,1,98,,,,14,15,15,1,,,,,,0,0,0,0,,,0,,,,"6.12",0,0,0,0
File,"OPMFactoryImpl.java",2,1,2,1,12,0,6,5,,,,,1,2,0,27,,27,25,0,27,,0,0,0,27,,390,35,200,62,116,156,,,,97,141,58,101,,,,,,11,4,11,3,,,2,,,,"0.78",63,46,63,33
File,"OPMItemProviderAdapterFactory.java",2,2,2,1,12,0,6,5,,,,,1,0,0,20,,20,20,13,20,,0,0,0,20,,419,50,158,66,61,211,,,,77,121,53,71,,,,,,11,11,11,3,,,2,,,,"1.34",44,44,46,22
File,"OPMNode.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,9,9,0,9,,9,0,0,0,,149,12,15,14,0,123,,,,13,14,14,0,,,,,,0,0,0,0,,,0,,,,"8.20",0,0,0,0
File,"OPMNodeComponentEditPolicy.java",2,2,2,1,27,2,16,8,,,,,1,0,1,3,,3,3,0,3,,0,1,1,1,,115,13,71,40,37,31,,,,51,63,41,36,,,,,,5,5,5,1,,,2,,,,"0.44",8,8,8,3
File,"OPMNodeEditPart.java",1,1,1,1,4,0,4,0,,,,,2,0,0,15,,15,15,1,15,,0,0,4,11,,123,22,88,48,24,13,,,,41,60,39,24,,,,,,2,2,2,1,,,1,,,,"0.15",17,17,17,15
File,"OPMNodeImpl.java",3,2,3,1,16,0,10,5,,,,,1,0,1,20,,20,20,3,20,,0,0,2,18,,432,30,235,72,127,168,,,,102,149,54,100,,,,,,7,7,9,1,,,2,,,,"0.71",61,45,65,20
File,"OPMNodeItemProvider.java",1,1,1,1,15,0,9,6,,,,,1,0,0,9,,9,9,0,9,,0,0,4,5,,198,18,112,43,59,68,,,,37,49,31,20,,,,,,3,3,4,1,,,1,,,,"0.61",13,13,14,9
File,"OPMNodeTest.java",1,1,1,1,19,1,10,7,,,,,1,1,0,8,,8,7,0,8,,0,0,3,5,,200,24,95,46,65,82,,,,74,83,43,65,,,,,,1,1,1,1,,,0,,,,"0.86",8,8,8,8
File,"OPMPackage.java",0,0,0,0,0,0,0,0,,,,,2,0,0,0,,35,35,121,35,,35,0,0,0,,1515,161,167,165,121,1188,,,,163,165,165,35,,,,,,0,0,0,0,,,0,,,,"7.11",0,0,0,0
File,"OPMPackageImpl.java",1,1,1,1,12,1,5,5,,,,,1,1,1,39,,39,38,17,39,,0,1,0,38,,701,102,265,84,160,335,,,,185,228,84,145,,,,,,3,3,3,1,,,1,,,,"1.26",43,43,43,39
File,"OPMState.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,53,4,5,4,0,45,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,"9.00",0,0,0,0
File,"OPMStateImpl.java",1,1,1,1,11,0,6,5,,,,,1,0,1,9,,9,9,1,9,,0,0,2,7,,166,17,69,26,33,81,,,,30,46,20,27,,,,,,3,3,3,1,,,1,,,,"1.17",16,16,16,9
File,"OPMStateItemProvider.java",1,1,1,1,13,0,7,6,,,,,1,0,0,7,,7,7,0,7,,0,0,2,5,,147,15,76,37,30,56,,,,29,39,25,15,,,,,,2,2,3,1,,,1,,,,"0.74",10,10,11,7
File,"OPMSwitch.java",3,2,3,1,19,0,8,10,,,,,1,0,1,14,,14,14,0,14,,0,0,2,12,,320,19,134,46,81,168,,,,77,119,43,86,,,,,,36,27,36,1,,,2,,,,"1.25",50,41,50,14
File,"OPMTests.java",1,1,1,1,10,0,5,5,,,,,1,2,0,3,,3,1,0,3,,0,0,0,3,,56,7,22,9,10,28,,,,14,18,9,10,,,,,,1,1,1,1,,,0,,,,"1.27",3,3,3,3
File,"OPMThing.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,85,7,10,9,0,69,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,"6.90",0,0,0,0
